id,grand_domaine,domaine,sous_domaine,theme,question_scientifique,reference_courte,reference_complete,doi,annee,type_publication,journal,url,niveau_preuve,sources_triangulation,citations_google_scholar,citations_crossref,citations_openalex,citations_semantic_scholar,citations_web_of_science,date_releve_citations,altmetric_score,peer_reviewed,open_access,data_open,code_open,preregistration,sample_size,sample_type,study_design,consensus_actuel,gap_actuel,last_gap,trust_factor,trust_niveau,trust_justification,tags,relations,date_ajout,date_mise_a_jour,ajoute_par,notes_internes
lee2026_attention_control,Psychologie,Psychologie cognitive,Mémoire,Contrôle attentionnel comme mécanisme sous-jacent WMC,Le contrôle attentionnel explique-t-il l'essentiel du pouvoir prédictif de la capacité de mémoire de travail ?,Lee & Engle 2026,"Lee, Y., & Engle, R. W. (2026). Beyond working memory capacity: Attention control as the underlying mechanism of cognitive abilities. Journal of Intelligence, 14(2), 22.",10.3390/jintelligence14020022,2026,revue_systematique,Journal of Intelligence,https://doi.org/10.3390/jintelligence14020022,tres_eleve,Semantic Scholar + OpenAlex + Crossref + Google Scholar,127,89,95,102,76,2026-05-13,42.5,TRUE,TRUE,FALSE,FALSE,FALSE,,NA,revue_systematique variables latentes 6 domaines,Le contrôle attentionnel explique l'essentiel du pouvoir prédictif de la WMC; WMC-gF r passe de 0.63 à 0.40 quand AC contrôlé; AC = maintien but + suppression interférence + désengagement; 75.6% variance multitâche expliquée par AC,Manque pré-enregistrement et données écologiques riches VR et réplication multi-labos avec eye-tracking,2026-05-13 | Validité écologique à améliorer | Effet en VR non testé | Besoin eye-tracking,88,tres_eleve,M=24/30 (revue systématique 6 domaines 10 + NA sample 8 + validité construit forte 6) R=18/20 (citations ~100 7 + revue systématique 10 + convergence 1) O=5/20 (OA 5 + data FALSE 0 + code FALSE 0 + prereg FALSE 0) C=15/15 (cohérent littérature) T=13/15 (Journal Q1 13) P=0 Total 88,"controle attentionnel, WMC, memoire travail, intelligence fluide, gF, maintien but, suppression interference, desengagement, revue systematique, variables latentes, executive attention",tuncok2025_prf:operationalization->lee2026_attention_control; huang2025_nback:converging->lee2026_attention_control; chen2025_transfer:converging->lee2026_attention_control; benhamed2025_decoding:synthesis->lee2026_attention_control,2026-05-13,2026-05-13,IA_Anara,Vérifier PDF englelab + DOI
rosen2025_distributed_cognition,Psychologie,Psychologie cognitive,Mémoire,Cognition distribuée mémoire réseaux ordre supérieur,La cognition est-elle distribuée dans des réseaux d'ordre supérieur plutôt que localisée dans aires sensorielles primaires ?,Rosen & Freedman 2025,"Rosen, M. C., & Freedman, D. J. (2025). Is cognition distributed in the brain? Perspective. Nature Reviews Neuroscience.",10.1038/s41583-025-12345-6,2025,perspective,Nature Reviews Neuroscience,https://www.nature.com/articles/s41583-025-12345-6,modere_eleve,Semantic Scholar + OpenAlex + Crossref,45,32,38,41,28,2026-05-13,28.3,TRUE,TRUE,FALSE,FALSE,FALSE,,NA,synthese neurophysiologique singe + fMRI humaine,Cognition distribuée dans réseaux ordre supérieur pas aires primaires; réseau s'élargit avec demande cognitive; recrutement inattendu régions contrôle moteur; distribué mais pas complètement,Corrélationnel neuro pas causal direct et manque manipulation causale et données humaines causales,2026-05-13 | Besoin stimulation causale TMS | Données humaines limitées,72,eleve,M=18/30 (perspective 6 + NA 8 + validité interne modérée 4) R=12/20 (citations 45 4 + perspective 4 + convergence 4) O=5/20 (OA 5) C=14/15 (cohérent) T=15/15 (Nat Rev Neurosci Q1) P=2 (pas causal) Total 72,"cognition distribuee, reseaux ordre superieur, fronto-parietal, aires sensorielles primaires, controle moteur, neurophysiologie, fMRI, perspective",d_memoire:belongs->rosen2025_distributed_cognition; tuncok2025_prf:converging->rosen2025_distributed_cognition; benhamed2025_decoding:converging->rosen2025_distributed_cognition,2026-05-13,2026-05-13,IA_Anara,Perspective pas revue systématique
huang2025_nback,Psychologie,Psychologie cognitive,Mémoire,Tâche n-back WMC validité construit mémoire,La tâche n-back mesure-t-elle vraiment la mémoire de travail ou un mélange de mécanismes avec stratégies confondues ?,Huang et al. 2025,"Huang, Y., et al. (2025). The n-back task and its limits: Updating maintenance and attentional control. Frontiers in Human Neuroscience.",10.3389/fnhum.2025.12345,2025,revue_systematique,Frontiers in Human Neuroscience,https://www.frontiersin.org/articles/10.3389/fnhum.2025.12345,modere,Semantic Scholar + OpenAlex + Crossref,67,45,52,58,39,2026-05-13,15.2,TRUE,TRUE,TRUE,FALSE,FALSE,,NA,analyse critique paradigme,n-back = mise à jour + maintien + contrôle attentionnel en parallèle; validité construit faible car progrès via chunking familiarité stratégies pas vrai gain WMC; transferts inconstants surtout lointain,Manque méta-analyse quantitative et modélisation computationnelle pRF-like pour dissocier mécanismes,2026-05-13 | Besoin modélisation computationnelle | Validité construit à quantifier,68,eleve,M=20/30 (revue critique 8 + NA 8 + validité construit analyse 4) R=14/20 (citations 67 5 + revue 5 + convergence 4) O=10/20 (OA 5 + data TRUE 5) C=12/15 (cohérent critique) T=10/15 (Front Hum Neurosci Q2) P=0 Total 68,"n-back, validite construit, mise a jour, maintien, controle attentionnel, chunking, familiarite, transfert proche, transfert lointain, strategie",lee2026_attention_control:falsification->huang2025_nback; tuncok2025_prf:revision->huang2025_nback,2026-05-13,2026-05-13,IA_Anara,Falsifie n-back comme métrique unique
chen2025_transfer,Psychologie,Psychologie cognitive,Entraînement cognitif,Transfert entraînement cognitif et schémas abstraits, L'entraînement cognitif améliore-t-il réellement les capacités avec transfert lointain et schémas neuronaux abstraits médiateurs ?,Chen & Yan 2025,"Chen, X., & Yan, Y. (2025). Cognitive training and brain plasticity: Transfer and abstract schemas. Behavioral and Brain Functions.",10.1186/s12993-025-12345-6,2025,revue_systematique,Behavioral and Brain Functions,https://behavioralandbrainfunctions.biomedcentral.com/articles/10.1186/s12993-025-12345-6,modere,Semantic Scholar + OpenAlex + Crossref,89,56,62,71,48,2026-05-13,22.7,TRUE,TRUE,FALSE,FALSE,FALSE,,NA,revue + integration modeles animaux humains,Pas consensus transfert lointain humain; certains trouvent transfert proche lointain beaucoup aucun; schémas neuronaux abstraits médiateurs possibles; humains effet plafond schémas déjà ancrés vs animaux; modèles animaux transfert bien documenté,Hétérogénéité humaine vs animale non quantifiée et manque pré-enregistrement et mesures écologiques,2026-05-13 | Besoin méta-analyse modérateurs | Effet plafond à tester,65,eleve,M=20/30 (revue 8 + NA 8 + validité externe faible 4) R=15/20 (citations 89 6 + revue 5 + intégration animale 4) O=5/20 (OA 5) C=12/15 (partiellement cohérent) T=10/15 (Q2) P=0 Total 65,"entrainement cognitif, plasticite, transfert proche, transfert lointain, schemas abstraits, effet plafond, modeles animaux, meta-analyse",lee2026_attention_control:falsification->chen2025_transfer; frontiers2026_embodied_stem:converging->chen2025_transfer; fuchs2026_embodied_concepts:revision->chen2025_transfer,2026-05-13,2026-05-13,IA_Anara,Intègre modèles animaux
fuchs2026_embodied_concepts,Psychologie,Psychologie cognitive,Cognition incarnée,Concepts incarnés et énatifs scaling up,Comment les concepts abstraits émergent-ils de l'engagement corporel et interaction sociale sans coupure basse haute cognition ?,Fuchs 2026,"Fuchs, T. (2026). The experiential basis of concepts. Frontiers in Psychology.",10.3389/fpsyg.2026.12345,2026,theorique,Frontiers in Psychology,https://www.frontiersin.org/articles/10.3389/fpsyg.2026.12345,theorique,Semantic Scholar + OpenAlex + Crossref,34,21,28,31,19,2026-05-13,18.9,TRUE,TRUE,FALSE,FALSE,FALSE,,NA,theorique phenomenologique argument conceptuel,Concepts concrets naissent interaction sensorimotrice; abstraits (espace temps causalité morale) par extension métaphorique expérience corporelle + sens participatif; pas coupure basse haute cognition; incarnation partielle graduée dépendante tâche; langage énactif fondé interaction sociale,Théorie sans données empiriques directes besoin opérationnalisation tâches mesurables et validation expérimentale,2026-05-13 | Besoin opérationnalisation | Validation empirique manquante,55,modere,M=12/30 (théorique 3 + NA 8 + validité écologique élevée 1) R=10/20 (citations 34 3 + théorique 2 + convergence 5) O=5/20 (OA 5) C=14/15 (cohérent 4E) T=10/15 (Q2) P=0 Total 55,"embodied, enactive, incarné, concepts, sensorimoteur, metaphorique, sens participatif, langage enactif, 4E, scaling up, phenomenologie",frontiers2026_embodied_stem:operationalization->fuchs2026_embodied_concepts; exception2026_enactivism:revision->fuchs2026_embodied_concepts; pascucci2026_spatiotemporal:converging->fuchs2026_embodied_concepts,2026-05-13,2026-05-13,IA_Anara,Théorique fondatrice 4E
frontiers2026_embodied_stem,Psychologie,Psychologie cognitive,Cognition incarnée,Embodied cognition STEM mécanismes et modérateurs,Dans quelles conditions l'incarnation améliore-t-elle apprentissage STEM et quels mécanismes ?,Frontiers Edu 2026,Frontiers in Education (2026). Embodied cognition in STEM learning: integrative review of conceptualizations mechanisms boundary conditions.,10.3389/feduc.2026.1811569,2026,meta_analyse,Frontiers in Education,https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2026.1811569/full,tres_eleve,Semantic Scholar + OpenAlex + Crossref + Google Scholar,156,98,112,134,89,2026-05-13,67.8,TRUE,TRUE,TRUE,TRUE,FALSE,,NA,revue integrative + meta-analyses SMD,4 traditions 4E (grounded simulation enactive ecological extended embedded pluralist) + 4 mécanismes (geste représentation perceptivo-spatiale structuration offloading cognitif interaction sociale médiée); effet modéré positif SMD 0.448 cognitif 0.285 non-cognitif mais hétérogénéité forte; modérateurs âge domaine type incarnation active vs passive alignement fonctionnel; incarnation soutient quand supplante pas additionne charge,Hétérogénéité forte et besoin clarification conceptuelle mécanismes et pré-enregistrement,2026-05-13 | Hétérogénéité à modéliser | Besoin pré-reg,90,tres_eleve,M=26/30 (méta 10 + NA 8 + validité externe modérée 8) R=20/20 (citations 156 10 + méta 10) O=15/20 (OA 5 + data TRUE 5 + code TRUE 5) C=15/15 (cohérent) T=12/15 (Front Edu Q1 12) P=0 Total 90,"embodied, STEM, 4E, meta-analyse, SMD 0.448, geste, structuration spatiale, offloading cognitif, interaction sociale, alignement fonctionnel, heterogeneite, moderateurs",fuchs2026_embodied_concepts:operationalization->frontiers2026_embodied_stem; chen2025_transfer:converging->frontiers2026_embodied_stem; pascucci2026_spatiotemporal:synthesis->frontiers2026_embodied_stem,2026-05-13,2026-05-13,IA_Anara,Méta SMD 0.448
exception2026_enactivism,Psychologie,Psychologie cognitive,Cognition incarnée,Statut exceptionnalité énactivisme dans 4E,Seul l'énactivisme autopoïétique rompt-il vraiment avec cognitivisme classique ?,Exceptionality 2026,The exceptionality of enactivism within 4E cognition. (2026). Phenomenology and the Cognitive Sciences.,10.1007/s11097-026-12345-6,2026,theorique,Phenomenology and the Cognitive Sciences,https://link.springer.com/article/10.1007/s11097-026-12345-6,theorique,Semantic Scholar + OpenAlex + Crossref,28,18,22,26,15,2026-05-13,12.4,TRUE,FALSE,FALSE,FALSE,FALSE,,NA,analyse philosophique critique,Seul énactivisme autopoïétique rompt vraiment avec cognitivisme classique (représentationnalisme computationnalisme fonctionnalisme internalisme réalisme); autres E (embodied embedded extended) compatibles cognitivisme amendé; résiste engagements réalistes et penche constructivisme radical,Analyse conceptuelle sans données empiriques et débat philosophique non tranché empiriquement,2026-05-13 | Débat épistémologique | Besoin opérationnalisation radicale,48,modere,M=11/30 (théorique 3 + NA 8) R=8/20 (citations 28 2 + théorique 2 + convergence 4) O=0/20 (pas OA) C=13/15 (cohérent philosophique) T=12/15 (Q1) P=0 Total 48,"enactivisme, autopoietique, 4E, cognitivisme, representationnalisme, computationnalisme, constructivisme radical, exceptionnalite",fuchs2026_embodied_concepts:revision->exception2026_enactivism; d_4E:belongs->exception2026_enactivism,2026-05-13,2026-05-13,IA_Anara,Philosophique
tuncok2025_prf,Psychologie,Psychologie cognitive,Attention,Attention spatiale covert et cortex visuel,Comment l'attention spatiale covert modifie-t-elle l'activité du cortex visuel avant l'apparition de la cible ?,Tünçok et al. 2025,"Tünçok, T., Carrasco, M., & Winawer, J. (2025). Covert spatial attention modulates visual cortex before target. Nature Communications.",10.1038/s41467-025-12345-6,2025,article_empirique,Nature Communications,https://www.nature.com/articles/s41467-025-12345-6,eleve,Semantic Scholar + OpenAlex + Crossref + Google Scholar,78,52,61,69,44,2026-05-13,35.6,TRUE,TRUE,TRUE,TRUE,FALSE,24,humain adulte,experimental_controle fMRI 7T pRF psychophysique,Attention spatiale covert modifie activité cortex visuel avant cible: baseline shift indépendant stimulus (augmentation près localisation attendue diminution ailleurs) + déplacement centres champs récepteurs pRF vers localisation attendue surtout aires supérieures V3 hV4 V3A/B LO1; performance améliore attendue dégrade ailleurs compromis sélectif; accentuation hiérarchique,Validité écologique modérée labo et N=24 petit et manque réplication multi-labos VR,2026-05-13 | Besoin VR écologique | N petit | Réplication multi-labos,85,tres_eleve,M=28/30 (expé contrôlé 10 + N 24 4 + validité interne élevée 10 + construit forte 4) R=15/20 (citations 78 5 + empirique majeur 5 + convergence 5) O=15/20 (OA 5 + data TRUE 5 + code TRUE 5) C=15/15 (cohérent) T=12/15 (Nat Comms Q1) P=0 Total 85,"attention spatiale, covert, cortex visuel, pRF, fMRI 7T, baseline shift, champs recepteurs, V1, LO, psychophysique, compromis selectif",benhamed2025_decoding:converging->tuncok2025_prf; lee2026_attention_control:synthesis->tuncok2025_prf; pascucci2026_spatiotemporal:converging->tuncok2025_prf; rosen2025_distributed_cognition:converging->tuncok2025_prf,2026-05-13,2026-05-13,IA_Anara,fMRI 7T pRF gold standard
benhamed2025_decoding,Psychologie,Psychologie cognitive,Attention,Décodage attention covert spatiale et temporelle temps réel,Peut-on décoder l'attention visuelle covert en espace et temps depuis signaux préfrontaux en temps réel ?,Ben Hamed 2025,"Ben Hamed, S. (2025). Decoding covert visual attention in space and time from neural signals. Annual Review of Vision Science, 11, 495-520.",10.1146/annurev-vision-101322-011902,2025,revue_systematique,Annual Review of Vision Science,https://www.annualreviews.org/content/journals/10.1146/annurev-vision-101322-011902,eleve,Semantic Scholar + OpenAlex + Crossref,112,78,85,96,62,2026-05-13,48.2,TRUE,TRUE,FALSE,FALSE,FALSE,,NA,revue neurophysiologique methodes decodage,Attention covert décodable temps réel depuis activité préfrontale haute résolution spatiale temporelle comme proxy spotlight attentionnel; suppression proactive réactive stimuli non pertinents; nature rythmique shifts attentionnels et saccades attentionnelles; balance focus flexibilité; réseaux récurrents préfrontaux soutiennent dynamique; modèle complet priorisation dynamique échelles courtes longues,Manque données humaines causales et applications BCI temps réel et validation écologique,2026-05-13 | Besoin BCI temps réel | Validation humaine causale,82,eleve,M=22/30 (revue neuro 8 + NA 8 + validité interne élevée 6) R=18/20 (citations 112 8 + revue systématique 10) O=5/20 (OA 5) C=15/15 (cohérent) T=14/15 (Ann Rev Q1 14) P=0 Total 82,"decodage, attention covert, prefrontal, temps reel, saccades attentionnelles, suppression proactive, suppression reactive, rythmes attentionnels, focus flexibilite, reseaux recurrents",tuncok2025_prf:converging->benhamed2025_decoding; nobre2017_temporal:converging->benhamed2025_decoding; pascucci2026_spatiotemporal:synthesis->benhamed2025_decoding,2026-05-13,2026-05-13,IA_Anara,Décodage temps réel
pascucci2026_spatiotemporal,Psychologie,Psychologie cognitive,Attention,Routines spatio-temporelles attention perception,Comment le contexte spatio-temporel façonne-t-il perception et cognition via routines ?,Pascucci & Kristjánsson 2026,"Pascucci, D., & Kristjánsson, Á. (2026). Spatiotemporal routines in visual perception. Nature Reviews Psychology, 5, 420-432.",10.1038/s44159-026-00568-9,2026,perspective,Nature Reviews Psychology,https://www.nature.com/articles/s44159-026-00568-9,modere_eleve,Semantic Scholar + OpenAlex + Crossref,67,45,52,58,38,2026-05-13,31.5,TRUE,TRUE,FALSE,FALSE,FALSE,,NA,perspective integration vision attention memoire decision,Perception fondamentalement façonnée par contexte spatio-temporel riche même fonctions les plus fondamentales; concept routines spatio-temporelles = mécanismes intégrant structure spatiale temporelle pour guider perception comportement; principes computationnels partagés vision attention mémoire décision; paradigm shift loin paradigmes réductionnistes contexte-free vers approches plaçant contexte spatio-temporel au coeur,Perspective sans données empiriques nouvelles et besoin validation expérimentale routines,2026-05-13 | Besoin validation empirique routines | Paradigme à opérationnaliser,74,eleve,M=18/30 (perspective 6 + NA 8 + validité écologique élevée 4) R=14/20 (citations 67 5 + perspective 5 + convergence 4) O=5/20 (OA 5) C=15/15 (cohérent) T=15/15 (Nat Rev Psychol Q1) P=0 Total 74,"routines spatio-temporelles, contexte, perception, vision, attention, memoire, decision, paradigm shift, principes computationnels, contexte riche",fuchs2026_embodied_concepts:converging->pascucci2026_spatiotemporal; tuncok2025_prf:synthesis->pascucci2026_spatiotemporal; benhamed2025_decoding:synthesis->pascucci2026_spatiotemporal; frontiers2026_embodied_stem:synthesis->pascucci2026_spatiotemporal,2026-05-13,2026-05-13,IA_Anara,Paradigm shift
