champ,type,obligatoire,exemple,description,valeurs_possibles_contraintes
id,string,✓,lee2026_attention_control,Identifiant unique court sans espace ni accent utilisé comme clé primaire,"regex: ^[a-z0-9_]+$ , unique, max 50 chars"
grand_domaine,string,✓,Psychologie,Grand domaine scientifique au niveau discipline,"Psychologie | Neurosciences | Sciences cognitives | Philosophie | Éducation"
domaine,string,✓,Psychologie cognitive,Domaine de second niveau,"Psychologie cognitive | Psychologie sociale | Neuropsychologie | Psychologie du développement"
sous_domaine,string,✓,Attention, Sous-domaine de troisième niveau,"Attention | Mémoire | Fonctions exécutives | Perception | Apprentissage | Cognition incarnée | Métacognition"
theme,string,✓,Attention spatiale covert et cortex visuel,Thème précis sujet de l'étude,"Texte libre 5-15 mots, spécifique"
question_scientifique,string,✓,Comment l'attention spatiale covert modifie-t-elle l'activité du cortex visuel avant l'apparition de la cible ?,Question de recherche falsifiable au format interrogatif,"Doit finir par ?, 15-200 caractères, falsifiable"
reference_courte,string,✓,Tünçok et al. 2025,Référence courte pour affichage graphe/tableau,"Format: Auteur et al. Année ou Auteur & Auteur Année"
reference_complete,string,✓,"Tünçok, Carrasco & Winawer (2025). Covert spatial attention modulates visual cortex before target. Nature Communications, 16, 1234.",Référence complète APA 7e,"APA 7e, inclure journal volume pages"
doi,string,✓,10.1038/s41467-025-12345-6,Digital Object Identifier,"regex: ^10\.\d{4,9}/[-._;()/:A-Z0-9]+$ (insensible casse), unique"
annee,integer,✓,2025,Année de publication,"1900-2030"
type_publication,string,✓,article_empirique,Type de publication selon méthode,"article_empirique | revue_systematique | meta_analyse | perspective | theorique | preprint | chapitre | these | conference"
journal,string,✓,Nature Communications,Journal ou conférence ou éditeur,"Texte libre, si preprint mettre serveur ex: bioRxiv"
url,string,○,https://doi.org/10.1038/s41467-025-12345-6,URL accès libre ou DOI résolu,"URL valide https://"
niveau_preuve,string,✓,eleve,Niveau de preuve selon pyramide adaptée,"theorique | faible | faible_modere | modere | modere_eleve | eleve | tres_eleve"
sources_triangulation,string,✓,"Semantic Scholar + OpenAlex + Crossref",Sources utilisées pour triangulation métriques,"Min 3 sources séparées par + , ex: Semantic Scholar + OpenAlex + Crossref + Google Scholar"
citations_google_scholar,integer,○,127,Nombre citations Google Scholar,"≥0"
citations_crossref,integer,○,89,Nombre citations Crossref,"≥0"
citations_openalex,integer,○,95,Nombre citations OpenAlex,"≥0"
citations_semantic_scholar,integer,○,102,Nombre citations Semantic Scholar,"≥0"
citations_web_of_science,integer,○,76,Nombre citations Web of Science,"≥0"
date_releve_citations,date,○,2026-05-13,Date du relevé citations pour traçabilité,"Format YYYY-MM-DD"
altmetric_score,float,○,42.5,Score attention altmétrique (Altmetric.com),">=0"
peer_reviewed,boolean,✓,TRUE,Article relu par les pairs,"TRUE | FALSE"
open_access,boolean,✓,TRUE,Accès libre au texte intégral,"TRUE | FALSE"
data_open,boolean,✓,TRUE,Données ouvertes disponibles,"TRUE | FALSE | PARTIAL"
code_open,boolean,✓,TRUE,Code/analyse ouvert,"TRUE | FALSE | PARTIAL"
preregistration,boolean,✓,FALSE,Pré-enregistrement protocole (OSF AsPredicted etc.),"TRUE | FALSE"
sample_size,integer,○,32,Taille échantillon principal si empirique,">=0, NULL si non applicable"
sample_type,string,○,humain adulte,Type d'échantillon,"humain adulte | étudiant | enfant | personne âgée | animal | singe | modèle computationnel | NA"
study_design,string,○,experimental_controle fMRI 7T pRF,Design étude détaillé,"experimental_controle | quasi_experimental | correlationnel | observationnel | neuroimagerie | psychophysique | theorique | revue_systematique | meta_analyse"
consensus_actuel,string,✓,"L'attention spatiale covert augmente baseline et déplace pRF vers localisation attendue, effet hiérarchique V1->LO",Consensus actuel du champ sur cette question,"1-3 phrases, factuel, sourcé"
gap_actuel,string,✓,"Manque de données en contexte écologique riche et de réplication multi-labos avec eye-tracking",Limite ou trou actuel identifié dans littérature,"1-3 phrases"
last_gap,string,✓,2026-05-13 | Validité écologique à améliorer | Effet en VR non testé,Dernière mise à jour du gap avec date et commentaire,"Format: YYYY-MM-DD | commentaire"
trust_factor,integer,✓,85,Score confiance calculé 0-100 selon formule M+R+O+C+T-P,"0-100"
trust_niveau,string,✓,eleve,Niveau qualitatif dérivé du score,"faible (0-29) | modere (30-59) | eleve (60-84) | tres_eleve (85-100)"
trust_justification,string,○,"M=25/30 (design expérimental + neuro) R=20/20 (réplication) O=15/20 (OA+data) C=15/15 (cohérence) T=10/15 (journal) P=0",Justification détaillée calcul trust,"Formule: M(0-30)+R(0-20)+O(0-20)+C(0-15)+T(0-15)-P(0-50)"
tags,string,✓,"attention spatiale, pRF, fMRI 7T, baseline shift, cortex visuel, covert",Mots-clés pour filtrage graphe D3 minimum 3,"séparés par virgule, minuscules, sans accent de préférence"
relations,string,○,"lee2026:operationalization->tuncok2025; tuncok2025:converging->benhamed2025; huang2025:falsification->lee2026",Relations typées vers autres IDs pour graphe D3,"Format: source:TYPE->cible; séparateur ; ; TYPE ∈ operationalization|converging|synthesis|falsification|revision|belongs"
date_ajout,date,✓,2026-05-13,Date ajout entrée base,"YYYY-MM-DD"
date_mise_a_jour,date,✓,2026-05-13,Date dernière mise à jour,"YYYY-MM-DD"
ajoute_par,string,✓,IA_Anara,Qui a ajouté entrée,"IA | IA_Anara | humain_nom | script"
notes_internes,string,○,"À vérifier pRF data OSF, contacter auteurs pour code",Notes internes non publiques,"Texte libre"
