filename,category_key,target_subfolder,relative_path,extension,size_bytes,size_kb,sha256
00 - Cartouche et Nomenclature.pdf,dce_st_nicolas,01_dce_marches_publics/saint_nicolas_de_la_grave,documents_sources/01_dce_marches_publics/saint_nicolas_de_la_grave/00 - Cartouche et Nomenclature.pdf,.pdf,123402,120.51,d97d436541b666abbb7ac5b2fd8d424120098202dbec023279d0ea742630aef6
02 - Plan de situation.pdf,dce_st_nicolas,01_dce_marches_publics/saint_nicolas_de_la_grave,documents_sources/01_dce_marches_publics/saint_nicolas_de_la_grave/02 - Plan de situation.pdf,.pdf,967168,944.5,045dc92853a3caee16ab2fa1d236cf6956d72edc3f065f093951a0f1cb6eaa3b
03 - Acte d'engagement.pdf,dce_st_nicolas,01_dce_marches_publics/saint_nicolas_de_la_grave,documents_sources/01_dce_marches_publics/saint_nicolas_de_la_grave/03 - Acte d'engagement.pdf,.pdf,31987,31.24,8a826229124c2b077d4d0187f946f922d475f9cf76af7fa3293393361c2933fc
04 - CCAP.pdf,dce_st_nicolas,01_dce_marches_publics/saint_nicolas_de_la_grave,documents_sources/01_dce_marches_publics/saint_nicolas_de_la_grave/04 - CCAP.pdf,.pdf,177355,173.2,acc4a821a3c2eef47e30e3127d7fb86c8469bf09b3db0c55a4322759e56d0d5f
05 - CCTP.pdf,dce_st_nicolas,01_dce_marches_publics/saint_nicolas_de_la_grave,documents_sources/01_dce_marches_publics/saint_nicolas_de_la_grave/05 - CCTP.pdf,.pdf,335828,327.96,99ca19268836db909e62f7e2e07b198a3af13f5927c49221eda29a4e0812c095
06 - BPU.pdf,dce_st_nicolas,01_dce_marches_publics/saint_nicolas_de_la_grave,documents_sources/01_dce_marches_publics/saint_nicolas_de_la_grave/06 - BPU.pdf,.pdf,172027,168.0,587e73b4fd191b6c55fb5b18f0ce15c0074a6efb6c9d8696d71d65e433ebcaac
07 - DQE.pdf,dce_st_nicolas,01_dce_marches_publics/saint_nicolas_de_la_grave,documents_sources/01_dce_marches_publics/saint_nicolas_de_la_grave/07 - DQE.pdf,.pdf,130067,127.02,7c4fb610e0f8f70fd617be6774f29d05b5b9f741c1fa8898baefc969eae68896
08 - Plan Etat des lieux.pdf,dce_st_nicolas,01_dce_marches_publics/saint_nicolas_de_la_grave,documents_sources/01_dce_marches_publics/saint_nicolas_de_la_grave/08 - Plan Etat des lieux.pdf,.pdf,297776,290.8,324bebd32c8a16c5472020d45d826bac995ee5d447de672d0a7b30d8dcfe8d98
09 - Plan voirie - Eaux pluviales.pdf,dce_st_nicolas,01_dce_marches_publics/saint_nicolas_de_la_grave,documents_sources/01_dce_marches_publics/saint_nicolas_de_la_grave/09 - Plan voirie - Eaux pluviales.pdf,.pdf,477278,466.09,10e71292e7d4825eba1c7c9051fae2de2a101e3407199750469ba09d7825da40
10 - Récepissés DT .pdf,dce_st_nicolas,01_dce_marches_publics/saint_nicolas_de_la_grave,documents_sources/01_dce_marches_publics/saint_nicolas_de_la_grave/10 - Récepissés DT .pdf,.pdf,1201914,1173.74,f003de41872d31e5f86b6ed51a9d45c825cfba8d4eb0ee6b974aac174b23a689
20190318_F1106.pdf,rh_pedagogie,06_management_rh_formation,documents_sources/06_management_rh_formation/20190318_F1106.pdf,.pdf,180371,176.14,b379870473b5f33d2b5c1a7bcd05b88b0fef5fd21cac2227f41d44bbef733018
AE.doc,dce_barbazan,01_dce_marches_publics/giratoire_barbazan,documents_sources/01_dce_marches_publics/giratoire_barbazan/AE.doc,.doc,231936,226.5,40a9cf88b9b3da4aeccd396a5f416c37a087f2ee22f05ce24c6cca4ba2daf325
AIPR CORRECTION.xlsx,reglementation_dict_aipr,03_reglementation_dict_aipr_securite,documents_sources/03_reglementation_dict_aipr_securite/AIPR CORRECTION.xlsx,.xlsx,5318519,5193.87,f21a69ccc36c6ac693aa56dcae02fe41d14520adf2f459e3da976ca88d4bcf9c
AUTORISATION DE VOIRIE.pdf,reglementation_dict_aipr,03_reglementation_dict_aipr_securite,documents_sources/03_reglementation_dict_aipr_securite/AUTORISATION DE VOIRIE.pdf,.pdf,788214,769.74,f4377768904993ccdbbbad1ef49e7dd166194a3c558dcd5c6d1e3fe7d66ed66d
Acte d-engagement.pdf,dce_aurouer,01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer,documents_sources/01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer/Acte d-engagement.pdf,.pdf,217808,212.7,acc7e5a4955be2152ec4c632ade9070f1df0c73e4e5d068bdff1a5f7679fac61
Arrêté de circulation.pdf,reglementation_dict_aipr,03_reglementation_dict_aipr_securite,documents_sources/03_reglementation_dict_aipr_securite/Arrêté de circulation.pdf,.pdf,1288362,1258.17,209268407a4699e383cbf1b38c400f44a5da9670a8ab079eb0c710eb48bfc745
BORDURE P2.pdf,etude_prix_sdp,02_preparation_etude_prix_sdp,documents_sources/02_preparation_etude_prix_sdp/BORDURE P2.pdf,.pdf,267766,261.49,f73abaaa6306476ec47023b0ab333aa2ce3d07e699adcd4fcbb35ebbae1731fb
BORUDRE P1.pdf,etude_prix_sdp,02_preparation_etude_prix_sdp,documents_sources/02_preparation_etude_prix_sdp/BORUDRE P1.pdf,.pdf,267051,260.79,896ca8461aa1bd548f220b831db226d34c33ba4c834bb23611a7bd62c4a8f7f9
BP.doc,dce_barbazan,01_dce_marches_publics/giratoire_barbazan,documents_sources/01_dce_marches_publics/giratoire_barbazan/BP.doc,.doc,221696,216.5,9e3e3517dcef44bc8ea7e5e3dd8086e5de0f3299f2d208ae6b763bb8726efb4c
BPU LOT1 unique.xls,dce_aurouer,01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer,documents_sources/01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer/BPU LOT1 unique.xls,.xls,133632,130.5,8ddbbffe2cae9f8d98e074d92d9bff67023cf8fbbd9e45b440b10a77360c884d
BPU LOT2 unique.xls,dce_aurouer,01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer,documents_sources/01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer/BPU LOT2 unique.xls,.xls,56832,55.5,61e7c86a735b4f6031d0ca1bc3bb02c2d42c88fc99ebdfbcb2e5abf78601b761
Bibliothèque  Prix Fournitures.xlsx,etude_prix_sdp,02_preparation_etude_prix_sdp,documents_sources/02_preparation_etude_prix_sdp/Bibliothèque  Prix Fournitures.xlsx,.xlsx,16501,16.11,0e5548ae430132e1d3ddefd3513291b4f12bc24a0ba3a32d208d02390cdaafd2
Bordures et Caniveaux.pdf,etude_prix_sdp,02_preparation_etude_prix_sdp,documents_sources/02_preparation_etude_prix_sdp/Bordures et Caniveaux.pdf,.pdf,5094932,4975.52,8a813110a7c603ba2b7c56a27c8e5707935c0cff3c49fa3cdecae1e8de4f9840
CCAP.pdf,dce_barbazan,01_dce_marches_publics/giratoire_barbazan,documents_sources/01_dce_marches_publics/giratoire_barbazan/CCAP.pdf,.pdf,93970,91.77,29bf93947e633ae8a61a78b06369eea93bfe5ce8b43f9fc5f3f3cf45a829cc01
CCTP LOT1.pdf,dce_aurouer,01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer,documents_sources/01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer/CCTP LOT1.pdf,.pdf,160964,157.19,2ec5dfbf1f1a9644c4eff915858b8747bc5e81a71e279ca6d00d7dd2dd0f1549
CCTP.pdf,dce_barbazan,01_dce_marches_publics/giratoire_barbazan,documents_sources/01_dce_marches_publics/giratoire_barbazan/CCTP.pdf,.pdf,308518,301.29,8a4d3751d889235b355be2b3813ae523441e9fe97676c00dca5b105f220a6606
COURS etude de prix 2018.pdf,etude_prix_sdp,02_preparation_etude_prix_sdp,documents_sources/02_preparation_etude_prix_sdp/COURS etude de prix 2018.pdf,.pdf,101197,98.83,0feb1f545eca372a3fefff46b4c5bbf4490cf39597c9b10532c7d58e448e9dd4
Cahier des Clauses Administratives Particulières.pdf,dce_aurouer,01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer,documents_sources/01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer/Cahier des Clauses Administratives Particulières.pdf,.pdf,210444,205.51,d391c4dc03d7e469887ae8ee0f9fea0e928d0ad6eed47487d6adafbce81042b0
DDE-ODP-SURPLOMB-SAILLIE-ENSEIGNE.pdf,reglementation_dict_aipr,03_reglementation_dict_aipr_securite,documents_sources/03_reglementation_dict_aipr_securite/DDE-ODP-SURPLOMB-SAILLIE-ENSEIGNE.pdf,.pdf,7874116,7689.57,4e96e5780016b82f2118a3a7eda8b535166aaf521ee871481007d6eb777b6fc6
DE LOT 1 T1.xls,dce_aurouer,01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer,documents_sources/01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer/DE LOT 1 T1.xls,.xls,66048,64.5,570f5f33d51e51467e8593b44f05feb0cda9f108a284332c116fdaa833ba631a
DE LOT 1 T2.xls,dce_aurouer,01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer,documents_sources/01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer/DE LOT 1 T2.xls,.xls,66048,64.5,ea8c567c353c8f2832f8c3e5b0cec011761ea050176977855a969b4cf83b61f4
DE LOT 2 T1.xls,dce_aurouer,01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer,documents_sources/01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer/DE LOT 2 T1.xls,.xls,48128,47.0,a796bcf72ccc7946fd8d735c6593f5bf234b13a6b935bbb24ef2e763c74dd03f
DE LOT 2 T2.xls,dce_aurouer,01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer,documents_sources/01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer/DE LOT 2 T2.xls,.xls,47616,46.5,5413bb18fb26838e18ccbeb4e2b678173b5043311570aded739bb17b8db4e960
DESC.pdf,suivi_cr_chantier,04_suivi_execution_comptes_rendus,documents_sources/04_suivi_execution_comptes_rendus/DESC.pdf,.pdf,459215,448.45,a705e635ff00e674843f1223a81cb78fe3cb1220a8654ff14fb8e8dfac44fb33
DESCexpl ss chant I OT 2.6.pdf,suivi_cr_chantier,04_suivi_execution_comptes_rendus,documents_sources/04_suivi_execution_comptes_rendus/DESCexpl ss chant I OT 2.6.pdf,.pdf,165157,161.29,015e9bd33d0deeefd231c2fa9d1cdc5db5253d1363ea081123340feb5ef80d4b
DETAIL-ESTIMATIF.xls,etude_prix_sdp,02_preparation_etude_prix_sdp,documents_sources/02_preparation_etude_prix_sdp/DETAIL-ESTIMATIF.xls,.xls,341504,333.5,99aeb97cfd829b0e90dd1f6dd9cc2c7d5ffb6b6c17d3d7e6fb8c53a1a1a6b9a2
DICT.pdf,reglementation_dict_aipr,03_reglementation_dict_aipr_securite,documents_sources/03_reglementation_dict_aipr_securite/DICT.pdf,.pdf,228098,222.75,8fa2337d4e51c5917337dd91593c5b175858f99b34f116b707d0b326acb5b5a0
DQE VERIF.xls,etude_prix_sdp,02_preparation_etude_prix_sdp,documents_sources/02_preparation_etude_prix_sdp/DQE VERIF.xls,.xls,385536,376.5,dc7431f1ab10f7c542190d0c5ef057776c55132bc0b9b4fa1a0350975a5482ac
Dossier des Ouvrages Exécutés.docx,doe_reception,05_doe_reception_cloture,documents_sources/05_doe_reception_cloture/Dossier des Ouvrages Exécutés.docx,.docx,14791,14.44,de9dfcff081fa8e87e15ac73d4d15160bcbf60365ad8d2d089227d513f37dd09
Equipement 30-05.xlsx,etude_prix_sdp,02_preparation_etude_prix_sdp,documents_sources/02_preparation_etude_prix_sdp/Equipement 30-05.xlsx,.xlsx,32091,31.34,91e027b5acde1ee9fd37e5d43a2b684625105c7ace5476251037c3361a68ddf9
Etude de dossier Giratoire de BARBAZAN   Conduite M4 - L.pdf,dce_barbazan,01_dce_marches_publics/giratoire_barbazan,documents_sources/01_dce_marches_publics/giratoire_barbazan/Etude de dossier Giratoire de BARBAZAN   Conduite M4 - L.pdf,.pdf,115067,112.37,3661bd00f86747f7aa8b5f579f610fb42a36529f8d6088db67c3050a66f09c33
Etude de dossier Lotissement Pruniaux   Préparation M4  2022.pdf,dce_aurouer,01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer,documents_sources/01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer/Etude de dossier Lotissement Pruniaux   Préparation M4  2022.pdf,.pdf,105250,102.78,6a24197790bc6616cd6c5c1447735abb28ada456b9017d8944fe875a8d5c837e
GEOPORTAIL.pdf,plans_carto,07_plans_et_cartographie,documents_sources/07_plans_et_cartographie/GEOPORTAIL.pdf,.pdf,1345905,1314.36,c724fa71775043f2b10af3fddfe3f54bc33fb39194017424b27e7a77190a95a2
LOT 2 CCTP.pdf,dce_aurouer,01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer,documents_sources/01_dce_marches_publics/lotissement_la_croix_pruniaux_aurouer/LOT 2 CCTP.pdf,.pdf,96561,94.3,70e7f1381e9dbecf228b7475842ac208d910f08233df456c88fb83a9b5ff3a70
Notice DICT.pdf,reglementation_dict_aipr,03_reglementation_dict_aipr_securite,documents_sources/03_reglementation_dict_aipr_securite/Notice DICT.pdf,.pdf,193501,188.97,5bd3c5d4551747b735a1be258591355d58d213ea4f151a4e4f6d50cfdccc4387
PLAN-GENERAL-COORDINATION.pdf,plans_carto,07_plans_et_cartographie,documents_sources/07_plans_et_cartographie/PLAN-GENERAL-COORDINATION.pdf,.pdf,231462,226.04,788dda6ad73936b8ffbf77ce1310f97f0bc5a314c324b6df04387a5772b99450
PLAN-MASSE.pdf,plans_carto,07_plans_et_cartographie,documents_sources/07_plans_et_cartographie/PLAN-MASSE.pdf,.pdf,926058,904.35,14fb9fe354a678c34b6ef0311d0f0cfb541d43c8d69b50fa06ec7f4c74433165
PLAN-PHASE- enrobé.pdf,plans_carto,07_plans_et_cartographie,documents_sources/07_plans_et_cartographie/PLAN-PHASE- enrobé.pdf,.pdf,957013,934.58,17d1d6e307482e31291822012064091aa68585b4a626675b86f2ebcdd409837e
PLAN-PHASE- gnt-2.pdf,plans_carto,07_plans_et_cartographie,documents_sources/07_plans_et_cartographie/PLAN-PHASE- gnt-2.pdf,.pdf,898931,877.86,92bce07eaffc69bfdd5b7580bac360b05c3de7d02988e5d364735c6b498382d7
PLAN-PHASE- gnt-3.pdf,plans_carto,07_plans_et_cartographie,documents_sources/07_plans_et_cartographie/PLAN-PHASE- gnt-3.pdf,.pdf,898899,877.83,c33c12e271fca0082a2802a0b9a3d0a535845251257107f1641d5bda4632b9eb
PLAN-PHASE- gnt-4.pdf,plans_carto,07_plans_et_cartographie,documents_sources/07_plans_et_cartographie/PLAN-PHASE- gnt-4.pdf,.pdf,899015,877.94,cfa70143cf2eeec3b33b0086c1814e70b00e6bb7178598536d72835931164e7e
PLAN-PHASE- gnt.pdf,plans_carto,07_plans_et_cartographie,documents_sources/07_plans_et_cartographie/PLAN-PHASE- gnt.pdf,.pdf,899975,878.88,2e9fab72234345866ae8be1acbcf4b58b4b1a141d71e5bcf58170860b0f26ef6
PLAN-PHASE-1 et 2 elargissement voie.pdf,plans_carto,07_plans_et_cartographie,documents_sources/07_plans_et_cartographie/PLAN-PHASE-1 et 2 elargissement voie.pdf,.pdf,899575,878.49,eb31e7e8e18b1a9b16a34f47fb9fbc862d4ce54d4e0dc767d03e87d5f69575ea
PLAN-PHASE-3  création giratoire.pdf,plans_carto,07_plans_et_cartographie,documents_sources/07_plans_et_cartographie/PLAN-PHASE-3  création giratoire.pdf,.pdf,976223,953.34,6eb891509b12e707ed23b7d427107676a2a961d2b38284063ee77b6d0dcf97d7
PLAN-PROFIL-EN-LONG-AXE1.pdf,plans_carto,07_plans_et_cartographie,documents_sources/07_plans_et_cartographie/PLAN-PROFIL-EN-LONG-AXE1.pdf,.pdf,147789,144.33,923a2c2660cbf3a99ba12f81cd26a15c55c2639c1791e024b1883e1ad771f52d
PLAN-PROFIL-EN-LONG-AXE2.pdf,plans_carto,07_plans_et_cartographie,documents_sources/07_plans_et_cartographie/PLAN-PROFIL-EN-LONG-AXE2.pdf,.pdf,148325,144.85,dc730a7de6bb7d50f6ccf0e054a1d6c82217a834257452f492afff081c75e39b
PLAN-PROFIL-EN-LONG-AXE3.pdf,plans_carto,07_plans_et_cartographie,documents_sources/07_plans_et_cartographie/PLAN-PROFIL-EN-LONG-AXE3.pdf,.pdf,147394,143.94,9b8715c071943a932279d42ab260a721ec5a6908de3497914f2ceffe104a180f
PLAN-PROFIL-EN-LONG-AXE4.pdf,plans_carto,07_plans_et_cartographie,documents_sources/07_plans_et_cartographie/PLAN-PROFIL-EN-LONG-AXE4.pdf,.pdf,146601,143.17,8c6ae1bea081c3b64c614b02b66a60c57d1661a07c8c7091dbe25ba4ede6001c
