nom;pop;part_agglo;surf_km2;dens;tvam;sn;sm;nat;mort;nvm;pauv;tcho;tact;emp;emp_100hab;etab;etab_1000hab;rs;vac;prop;logts_men;men;code
Frontignan;24136;18,39;40,01;760,9;1,0;-0,1;1,1;7,2;11,3;24580;17,0;14,0;75,3;6556;27,2;671;27,8;20,6;2,9;61,6;1,3;11183;34108
Sète;45337;34,55;40,58;1872,7;0,8;-0,5;1,3;6,4;14,8;22740;26,0;17,1;67,9;18025;39,8;1864;41,1;21,4;5,5;47,5;1,36;24859;34301
Mèze;12669;9,66;47,73;366,3;1,5;-0,5;2,0;6,6;12,5;24180;20,0;15,1;72,1;3196;25,2;418;33,0;13,8;5,0;58,1;1,22;6157;34157
Marseillan;8414;6,41;52,73;162,7;1,3;-0,7;2,1;7,0;14,7;23800;19,0;16,8;71,7;2190;26,0;476;56,6;59,7;0,4;59,7;2,5;4360;34150
Balaruc-les-Bains;7139;5,44;8,67;824,4;0,9;-0,3;1,3;5,7;7,1;26450;13,0;13,7;74,2;2267;31,8;287;40,2;54,3;1,2;65,0;2,24;3444;34023
Poussan;6797;5,18;29,92;226,0;2,2;0,2;2,0;8,7;9,1;25860;13,0;9,1;78,0;1389;20,4;178;26,2;2,7;5,0;70,3;1,08;2926;34213
Gigean;6639;5,06;16,3;400,9;0,5;0,3;0,3;9,9;8,9;25740;16,0;10,5;77,3;1843;27,8;235;35,4;1,7;7,8;70,5;1,11;2709;34113
Villeveyrac;3972;3,03;37,26;107,0;0,8;-0,0;0,8;7,8;11,6;25390;12,0;10,1;81,7;851;21,4;112;28,2;4,1;7,2;72,8;1,12;1614;34341
Vic-la-Gardiole;3428;2,61;30,72;185,4;0,8;-0,0;0,9;7,3;12,3;25970;13,0;12,0;80,6;694;20,2;147;42,9;27,5;5,3;66,3;1,49;1681;34333
Mireval;3301;2,52;11,23;298,7;0,1;-0,6;0,7;5,8;12,4;27260;10,0;8,0;78,5;693;21,0;73;22,1;3,8;4,8;72,9;1,09;1457;34159
Montbazin;2877;2,19;21,49;136,2;-0,4;0,3;-0,8;10,1;7,0;26870;11,0;9,2;77,8;359;12,5;56;19,5;2,6;5,5;76,7;1,1;1212;34165
Balaruc-le-Vieux;2737;2,09;6,92;462,3;0,7;-0,6;1,3;3,7;15,0;27840;7,0;10,2;78,1;1220;44,6;149;54,4;11,2;1,1;72,7;1,14;1205;34024
Loupian;2169;1,65;23,26;135,6;0,1;0,2;-0,1;7,4;8,8;25580;13,0;13,0;78,8;575;26,5;85;39,2;14,4;10,1;72,5;1,32;975;34143
Bouzigues;1601;1,22;6,5;524,9;-0,6;-0,1;-0,4;10,6;5,0;29610;None;5,1;75,2;412;25,7;97;60,6;22,5;4,5;73,7;1,38;770;34039
